IncidentSize,FireCause,InitialLatitude,InitialLongitude,Month
-4.605170185988091,0,38.744978,-120.667317,8
-4.605170185988091,1,34.20743,-118.14137,8
-4.605170185988091,0,34.29535,-116.461861,6
-4.605170185988091,0,39.00591,-120.7447,9
-4.605170185988091,0,38.001167,-121.90622,7
-4.605170185988091,0,38.857817,-119.900221,8
-4.605170185988091,0,40.490243,-122.539947,5
-4.605170185988091,0,33.74183,-116.877147,12
-4.605170185988091,0,36.947841,-119.391618,9
-4.605170185988091,0,33.077333,-116.7575,7
-4.605170185988091,0,37.40902,-121.920978,6
-4.605170185988091,0,32.94261,-116.853515,5
-4.605170185988091,0,33.238808,-117.226266,8
-4.605170185988091,0,36.698241,-119.080257,5
-4.605170185988091,0,33.323134,-117.037073,4
-4.605170185988091,0,33.853077,-117.491962,6
-4.605170185988091,0,38.037926,-120.252395,5
-4.605170185988091,0,38.736113,-121.392532,11
-4.605170185988091,0,36.300333,-119.086317,11
-4.605170185988091,0,33.373398,-117.170337,8
-4.605170185988091,0,38.212028,-122.549274,7
-4.605170185988091,0,34.004699,-116.576334,7
-4.605170185988091,0,33.662039,-117.424439,5
-4.605170185988091,0,37.188066,-121.069975,8
-4.605170185988091,0,33.066705,-116.809063,9
-4.605170185988091,0,37.808383,-121.572117,7
-4.605170185988091,0,40.548641,-120.779547,7
-4.605170185988091,0,39.169697,-121.610679,8
-4.605170185988091,0,34.389058,-117.445726,6
-4.605170185988091,0,32.646633,-116.105991,7
-4.605170185988091,0,32.700736,-116.324748,8
-4.605170185988091,0,33.569238,-116.137081,8
-4.605170185988091,0,39.875885,-122.200669,9
-4.605170185988091,0,36.868594,-121.743612,6
-4.605170185988091,0,39.178478,-121.633343,7
-4.605170185988091,0,38.779233,-122.572983,7
-4.605170185988091,0,39.184173,-120.848211,7
-4.605170185988091,0,37.349009,-119.87075,7
-4.605170185988091,0,32.60429,-116.608115,10
-4.605170185988091,0,41.971717,-122.64405,7
-4.605170185988091,0,41.3355,-122.0235,8
-4.605170185988091,0,37.138377,-119.309298,7
-4.605170185988091,0,40.625892,-122.41159,6
-4.605170185988091,0,33.028486,-116.957419,6
-4.605170185988091,0,37.719643,-121.535466,11
-4.605170185988091,0,40.456331,-122.296421,9
-4.605170185988091,0,41.30287,-123.532293,9
-4.605170185988091,0,35.734966,-120.754822,4
-4.605170185988091,0,37.295411,-122.382607,10
-4.605170185988091,1,41.250767,-122.12965,6
